fecha,sku,tipo,cantidad
2025-01-13,SA-103,Salida consumo,-7
2025-01-13,MP-106,Entrada compra,43
2025-01-14,PA-103,Entrada producción,3
2025-01-14,MP-104,Entrada compra,159
2025-01-14,SP-109,Salida consumo,-28
2025-01-14,SA-104,Salida consumo,-9
2025-01-14,CP-113,Salida consumo,-37
2025-01-14,CP-102,Entrada compra,27
2025-01-14,SA-107,Salida consumo,-11
2025-01-14,SA-100,Entrada compra,4
2025-01-15,SP-102,Entrada compra,41
2025-01-15,SA-106,Salida consumo,-17
2025-01-15,SA-108,Entrada compra,8
2025-01-15,CP-106,Salida consumo,-43
2025-01-15,SP-110,Entrada compra,28
2025-01-15,MP-105,Entrada compra,121
2025-01-15,MP-103,Salida consumo,-90
2025-01-15,PA-101,Ajuste,-1
2025-01-16,CP-108,Entrada producción,10
2025-01-16,CP-112,Entrada compra,31
2025-01-16,SA-102,Salida consumo,-5
2025-01-16,MP-106,Salida consumo,-53
2025-01-16,SA-110,Entrada compra,14
2025-01-16,SP-100,Salida consumo,-14
2025-01-17,PA-100,Entrada producción,3
2025-01-17,PA-103,Salida despliegue,-3
2025-01-17,CP-109,Entrada compra,30
2025-01-17,MP-104,Salida consumo,-142
2025-01-17,SA-101,Entrada producción,4
2025-01-17,SA-100,Salida consumo,-5
2025-01-17,CP-102,Salida consumo,-25
2025-01-17,MP-101,Entrada compra,69
2025-01-18,SP-102,Salida consumo,-39
2025-01-18,SA-108,Salida consumo,-9
2025-01-18,MP-108,Entrada compra,92
2025-01-18,MP-105,Salida consumo,-125
2025-01-18,SP-110,Salida consumo,-27
2025-01-19,MP-104,Ajuste,-1
2025-01-19,CP-108,Salida consumo,-12
2025-01-19,PA-103,Ajuste,-1
2025-01-19,CP-112,Salida consumo,-28
2025-01-19,SA-110,Salida consumo,-14
2025-01-19,CP-115,Entrada compra,74
2025-01-20,CP-118,Entrada compra,25
2025-01-20,CP-120,Entrada producción,68
2025-01-20,MP-101,Salida consumo,-75
2025-01-20,CP-111,Entrada producción,72
2025-01-20,CP-109,Salida consumo,-28
2025-01-20,CP-101,Entrada compra,19
2025-01-20,SA-101,Salida consumo,-4
2025-01-20,PA-100,Salida despliegue,-3
2025-01-21,SP-106,Entrada compra,10
2025-01-21,CP-114,Entrada producción,46
2025-01-21,CP-107,Entrada compra,28
2025-01-21,MP-108,Salida consumo,-74
2025-01-22,CP-115,Salida consumo,-63
2025-01-22,SA-109,Entrada compra,4
2025-01-23,SP-107,Entrada compra,22
2025-01-23,CP-103,Entrada compra,25
2025-01-23,CP-111,Salida consumo,-61
2025-01-23,CP-120,Salida consumo,-56
2025-01-23,PA-104,Entrada producción,3
2025-01-23,CP-101,Salida consumo,-21
2025-01-23,CP-118,Salida consumo,-26
2025-01-24,SP-101,Entrada producción,7
2025-01-24,CP-107,Salida consumo,-23
2025-01-24,SP-106,Salida consumo,-11
2025-01-24,MP-110,Entrada compra,167
2025-01-24,CP-114,Salida consumo,-50
2025-01-24,CP-100,Entrada compra,37
2025-01-25,SP-103,Entrada compra,29
2025-01-25,SA-109,Salida consumo,-4
2025-01-25,CP-111,Ajuste,-3
2025-01-26,SP-107,Salida consumo,-19
2025-01-26,SP-106,Ajuste,-1
2025-01-26,CP-103,Salida consumo,-22
2025-01-26,PA-104,Salida despliegue,-4
2025-01-27,SP-101,Salida consumo,-9
2025-01-27,CP-100,Salida consumo,-44
2025-01-27,MP-110,Salida consumo,-162
2025-01-28,SP-103,Salida consumo,-25
2025-02-04,MP-106,Entrada compra,59
2025-02-04,PA-103,Entrada producción,1
2025-02-04,MP-101,Entrada compra,87
2025-02-04,SA-107,Entrada compra,10
2025-02-05,SP-107,Entrada compra,19
2025-02-05,CP-104,Entrada compra,64
2025-02-06,CP-119,Entrada compra,52
2025-02-06,SP-103,Entrada compra,33
2025-02-06,MP-105,Entrada compra,135
2025-02-06,CP-110,Entrada compra,36
2025-02-07,MP-101,Salida consumo,-76
2025-02-07,CP-118,Entrada compra,36
2025-02-07,PA-103,Salida despliegue,-1
2025-02-07,SP-104,Entrada compra,38
2025-02-07,MP-106,Salida consumo,-72
2025-02-07,SA-107,Salida consumo,-11
2025-02-07,SP-109,Entrada compra,18
2025-02-08,SP-105,Entrada compra,7
2025-02-08,CP-101,Entrada compra,22
2025-02-08,MP-111,Entrada producción,206
2025-02-08,SA-108,Entrada compra,14
2025-02-08,SP-107,Salida consumo,-22
2025-02-08,CP-104,Salida consumo,-53
2025-02-09,CP-119,Salida consumo,-42
2025-02-09,CP-110,Salida consumo,-39
2025-02-09,PA-103,Ajuste,-1
2025-02-09,SP-103,Salida consumo,-31
2025-02-09,CP-116,Entrada compra,29
2025-02-09,MP-105,Salida consumo,-151
2025-02-10,PA-101,Entrada producción,2
2025-02-10,SP-104,Salida consumo,-31
2025-02-10,SA-110,Entrada compra,15
2025-02-10,SP-109,Salida consumo,-22
2025-02-10,CP-118,Salida consumo,-31
2025-02-10,MP-104,Entrada compra,143
2025-02-10,SP-102,Entrada compra,20
2025-02-11,SA-108,Salida consumo,-13
2025-02-11,CP-101,Salida consumo,-23
2025-02-11,MP-111,Salida consumo,-176
2025-02-11,CP-102,Entrada compra,27
2025-02-11,SP-105,Salida consumo,-9
2025-02-12,CP-116,Salida consumo,-33
2025-02-12,SA-100,Entrada compra,7
2025-02-12,SA-111,Entrada compra,8
2025-02-12,SA-109,Entrada compra,6
2025-02-13,SP-102,Salida consumo,-21
2025-02-13,SA-110,Salida consumo,-15
2025-02-13,PA-101,Salida despliegue,-2
2025-02-13,MP-104,Salida consumo,-156
2025-02-14,CP-102,Salida consumo,-33
2025-02-14,PA-102,Entrada producción,4
2025-02-14,CP-117,Entrada compra,62
2025-02-14,CP-105,Entrada compra,80
2025-02-14,CP-120,Entrada producción,46
2025-02-14,MP-113,Entrada compra,148
2025-02-15,SA-111,Salida consumo,-7
2025-02-15,SA-100,Salida consumo,-9
2025-02-15,SA-104,Entrada compra,15
2025-02-15,CP-121,Entrada compra,48
2025-02-15,SA-106,Entrada producción,11
2025-02-15,SA-109,Salida consumo,-7
2025-02-15,SP-102,Ajuste,-1
2025-02-16,CP-106,Entrada compra,51
2025-02-17,MP-109,Entrada producción,184
2025-02-17,MP-112,Entrada compra,151
2025-02-17,MP-103,Entrada compra,89
2025-02-17,CP-120,Salida consumo,-48
2025-02-17,PA-102,Salida despliegue,-4
2025-02-17,MP-113,Salida consumo,-180
2025-02-17,CP-117,Salida consumo,-50
2025-02-17,CP-105,Salida consumo,-67
2025-02-17,PA-100,Entrada producción,2
2025-02-18,CP-113,Entrada compra,35
2025-02-18,SA-106,Salida consumo,-13
2025-02-18,CP-121,Salida consumo,-50
2025-02-18,SA-101,Entrada producción,9
2025-02-18,SA-104,Salida consumo,-16
2025-02-19,CP-103,Entrada compra,24
2025-02-19,SA-103,Entrada compra,12
2025-02-19,CP-106,Salida consumo,-59
2025-02-19,MP-110,Entrada compra,133
2025-02-19,CP-112,Entrada compra,26
2025-02-19,SP-101,Entrada producción,4
2025-02-20,PA-100,Salida despliegue,-2
2025-02-20,MP-112,Salida consumo,-174
2025-02-20,MP-103,Salida consumo,-97
2025-02-20,SP-108,Entrada compra,12
2025-02-20,CP-108,Entrada producción,27
2025-02-20,MP-109,Salida consumo,-162
2025-02-21,SP-110,Entrada compra,19
2025-02-21,MP-100,Entrada producción,186
2025-02-21,SA-101,Salida consumo,-8
2025-02-21,CP-113,Salida consumo,-43
2025-02-21,CP-111,Entrada producción,56
2025-02-22,SP-101,Salida consumo,-6
2025-02-22,CP-103,Salida consumo,-20
2025-02-22,CP-107,Entrada compra,42
2025-02-22,MP-110,Salida consumo,-152
2025-02-22,CP-112,Salida consumo,-28
2025-02-22,SA-103,Salida consumo,-12
2025-02-23,MP-108,Entrada compra,60
2025-02-23,CP-109,Entrada compra,36
2025-02-23,SA-105,Entrada compra,3
2025-02-23,MP-107,Entrada compra,112
2025-02-23,CP-115,Entrada compra,59
2025-02-23,SP-108,Salida consumo,-15
2025-02-23,CP-108,Salida consumo,-22
2025-02-24,SP-110,Salida consumo,-17
2025-02-24,CP-111,Salida consumo,-62
2025-02-24,MP-100,Salida consumo,-155
2025-02-24,SP-101,Ajuste,-1
2025-02-25,CP-100,Entrada compra,33
2025-02-25,SP-111,Entrada compra,10
2025-02-25,SP-100,Entrada compra,5
2025-02-25,MP-102,Entrada compra,207
2025-02-25,CP-107,Salida consumo,-38
2025-02-25,CP-114,Entrada producción,50
2025-02-25,PA-104,Entrada producción,2
2025-02-25,SP-106,Entrada compra,26
2025-02-25,SA-102,Entrada compra,8
2025-02-26,MP-108,Salida consumo,-66
2025-02-26,CP-109,Salida consumo,-35
2025-02-26,MP-107,Salida consumo,-98
2025-02-26,SA-105,Salida consumo,-4
2025-02-26,CP-115,Salida consumo,-63
2025-02-28,SP-111,Salida consumo,-9
2025-02-28,SP-106,Salida consumo,-21
2025-02-28,CP-100,Salida consumo,-41
2025-02-28,PA-104,Salida despliegue,-2
2025-02-28,SP-100,Salida consumo,-6
2025-02-28,MP-102,Salida consumo,-169
2025-02-28,SA-102,Salida consumo,-8
2025-02-28,CP-114,Salida consumo,-51
2025-03-04,PA-102,Entrada producción,2
2025-03-04,SP-108,Entrada compra,23
2025-03-05,SP-102,Entrada compra,18
2025-03-05,CP-108,Entrada producción,17
2025-03-06,CP-121,Entrada compra,40
2025-03-06,CP-112,Entrada compra,31
2025-03-06,SA-111,Entrada compra,9
2025-03-07,MP-102,Entrada compra,194
2025-03-07,SP-108,Salida consumo,-25
2025-03-07,PA-102,Salida despliegue,-3
2025-03-07,CP-114,Entrada producción,67
2025-03-07,CP-102,Entrada compra,49
2025-03-08,SP-102,Salida consumo,-17
2025-03-08,CP-108,Salida consumo,-18
2025-03-08,MP-101,Entrada compra,83
2025-03-08,CP-101,Entrada compra,27
2025-03-08,SA-102,Entrada compra,11
2025-03-09,SP-103,Entrada compra,23
2025-03-09,SA-111,Salida consumo,-9
2025-03-09,SA-110,Entrada compra,6
2025-03-09,CP-112,Salida consumo,-34
2025-03-09,MP-100,Entrada producción,225
2025-03-09,CP-121,Salida consumo,-50
2025-03-10,MP-102,Salida consumo,-185
2025-03-10,CP-114,Salida consumo,-56
2025-03-10,SP-100,Entrada compra,18
2025-03-10,MP-109,Entrada producción,159
2025-03-10,SP-111,Entrada compra,20
2025-03-10,MP-111,Entrada producción,214
2025-03-10,CP-102,Salida consumo,-44
2025-03-10,CP-107,Entrada compra,23
2025-03-11,CP-101,Salida consumo,-29
2025-03-11,MP-101,Salida consumo,-71
2025-03-11,SA-102,Salida consumo,-10
2025-03-11,PA-104,Entrada producción,4
2025-03-11,CP-100,Entrada compra,78
2025-03-11,CP-117,Entrada compra,43
2025-03-12,CP-103,Entrada compra,30
2025-03-12,CP-110,Entrada compra,43
2025-03-12,SP-103,Salida consumo,-28
2025-03-12,SA-110,Salida consumo,-7
2025-03-12,MP-100,Salida consumo,-183
2025-03-13,MP-109,Salida consumo,-155
2025-03-13,MP-107,Entrada compra,104
2025-03-13,MP-111,Salida consumo,-233
2025-03-13,CP-115,Entrada compra,54
2025-03-13,SP-100,Salida consumo,-16
2025-03-13,SP-111,Salida consumo,-21
2025-03-13,CP-116,Entrada compra,22
2025-03-13,MP-104,Entrada compra,176
2025-03-13,CP-118,Entrada compra,17
2025-03-13,CP-107,Salida consumo,-28
2025-03-14,CP-120,Entrada producción,79
2025-03-14,CP-100,Salida consumo,-66
2025-03-14,CP-111,Entrada producción,57
2025-03-14,CP-117,Salida consumo,-38
2025-03-14,SA-109,Entrada compra,6
2025-03-14,PA-104,Salida despliegue,-4
2025-03-15,SP-107,Entrada compra,13
2025-03-15,SP-105,Entrada compra,10
2025-03-15,SP-110,Entrada compra,26
2025-03-15,CP-103,Salida consumo,-27
2025-03-15,MP-112,Entrada compra,203
2025-03-15,CP-110,Salida consumo,-36
2025-03-16,SP-101,Entrada producción,16
2025-03-16,CP-109,Entrada compra,42
2025-03-16,CP-115,Salida consumo,-59
2025-03-16,CP-116,Salida consumo,-21
2025-03-16,SA-100,Entrada compra,4
2025-03-16,SA-104,Entrada compra,11
2025-03-16,CP-118,Salida consumo,-22
2025-03-16,MP-104,Salida consumo,-181
2025-03-16,MP-103,Entrada compra,150
2025-03-16,MP-113,Entrada compra,154
2025-03-16,MP-107,Salida consumo,-109
2025-03-17,CP-120,Salida consumo,-76
2025-03-17,SA-107,Entrada compra,17
2025-03-17,SA-109,Salida consumo,-8
2025-03-17,CP-111,Salida consumo,-51
2025-03-17,SP-109,Entrada compra,29
2025-03-17,MP-108,Entrada compra,99
2025-03-17,CP-113,Entrada compra,40
2025-03-18,SP-110,Salida consumo,-33
2025-03-18,MP-112,Salida consumo,-172
2025-03-18,SP-107,Salida consumo,-16
2025-03-18,CP-106,Entrada compra,41
2025-03-18,SP-105,Salida consumo,-9
2025-03-19,SP-101,Salida consumo,-15
2025-03-19,SP-104,Entrada compra,32
2025-03-19,CP-109,Salida consumo,-34
2025-03-19,MP-113,Salida consumo,-184
2025-03-19,SA-103,Entrada compra,21
2025-03-19,SA-104,Salida consumo,-13
2025-03-19,SA-100,Salida consumo,-5
2025-03-19,MP-103,Salida consumo,-128
2025-03-20,CP-113,Salida consumo,-41
2025-03-20,PA-101,Entrada producción,3
2025-03-20,MP-108,Salida consumo,-95
2025-03-20,SA-108,Entrada compra,11
2025-03-20,SP-109,Salida consumo,-25
2025-03-20,SP-105,Ajuste,-1
2025-03-20,SA-107,Salida consumo,-18
2025-03-21,MP-110,Entrada compra,149
2025-03-21,PA-100,Entrada producción,3
2025-03-21,CP-106,Salida consumo,-48
2025-03-21,SA-106,Entrada producción,16
2025-03-22,SA-103,Salida consumo,-18
2025-03-22,SP-104,Salida consumo,-29
2025-03-22,MP-106,Entrada compra,73
2025-03-23,SA-105,Entrada compra,6
2025-03-23,PA-101,Salida despliegue,-4
2025-03-23,CP-104,Entrada compra,52
2025-03-23,CP-105,Entrada compra,102
2025-03-23,SA-108,Salida consumo,-11
2025-03-24,SA-106,Salida consumo,-15
2025-03-24,CP-119,Entrada compra,50
2025-03-24,MP-110,Salida consumo,-164
2025-03-24,PA-100,Salida despliegue,-3
2025-03-24,SA-101,Entrada producción,10
2025-03-25,SP-106,Entrada compra,15
2025-03-25,MP-106,Salida consumo,-70
2025-03-25,MP-105,Entrada compra,194
2025-03-26,CP-105,Salida consumo,-84
2025-03-26,CP-104,Salida consumo,-48
2025-03-26,SA-105,Salida consumo,-7
2025-03-27,SA-101,Salida consumo,-10
2025-03-27,CP-119,Salida consumo,-59
2025-03-28,MP-105,Salida consumo,-166
2025-03-28,SP-106,Salida consumo,-17
2025-04-04,CP-113,Entrada compra,49
2025-04-04,SA-102,Entrada compra,13
2025-04-06,CP-112,Entrada compra,35
2025-04-06,SA-111,Entrada compra,14
2025-04-06,SP-109,Entrada compra,12
2025-04-06,CP-100,Entrada compra,62
2025-04-07,PA-104,Entrada producción,1
2025-04-07,CP-118,Entrada compra,28
2025-04-07,MP-103,Entrada compra,153
2025-04-07,MP-100,Entrada producción,190
2025-04-07,CP-113,Salida consumo,-53
2025-04-07,SA-102,Salida consumo,-11
2025-04-08,PA-103,Entrada producción,1
2025-04-09,CP-101,Entrada compra,36
2025-04-09,CP-112,Salida consumo,-36
2025-04-09,CP-100,Salida consumo,-62
2025-04-09,SP-109,Salida consumo,-14
2025-04-09,CP-107,Entrada compra,42
2025-04-09,SA-111,Salida consumo,-16
2025-04-10,SP-110,Entrada compra,27
2025-04-10,MP-108,Entrada compra,90
2025-04-10,CP-118,Salida consumo,-31
2025-04-10,MP-106,Entrada compra,91
2025-04-10,MP-100,Salida consumo,-213
2025-04-10,CP-102,Entrada compra,43
2025-04-10,PA-104,Salida despliegue,-1
2025-04-10,SA-103,Entrada compra,12
2025-04-10,MP-103,Salida consumo,-138
2025-04-10,CP-109,Entrada compra,36
2025-04-11,SA-108,Entrada compra,16
2025-04-11,PA-103,Salida despliegue,-1
2025-04-11,CP-104,Entrada compra,49
2025-04-11,SA-105,Entrada compra,8
2025-04-12,SP-111,Entrada compra,19
2025-04-12,CP-101,Salida consumo,-34
2025-04-12,MP-107,Entrada compra,118
2025-04-12,CP-107,Salida consumo,-49
2025-04-12,CP-106,Entrada compra,64
2025-04-13,SA-103,Salida consumo,-13
2025-04-13,SP-110,Salida consumo,-31
2025-04-13,MP-113,Entrada compra,190
2025-04-13,MP-106,Salida consumo,-74
2025-04-13,SA-106,Entrada producción,11
2025-04-13,CP-109,Salida consumo,-40
2025-04-13,CP-120,Entrada producción,90
2025-04-13,CP-102,Salida consumo,-52
2025-04-13,CP-119,Entrada compra,50
2025-04-13,SP-106,Entrada compra,13
2025-04-13,MP-108,Salida consumo,-74
2025-04-14,CP-108,Entrada producción,43
2025-04-14,CP-104,Salida consumo,-51
2025-04-14,SA-100,Entrada compra,12
2025-04-14,MP-112,Entrada compra,202
2025-04-14,SA-108,Salida consumo,-13
2025-04-14,CP-107,Ajuste,-2
2025-04-14,SA-105,Salida consumo,-9
2025-04-15,SP-105,Entrada compra,8
2025-04-15,MP-107,Salida consumo,-102
2025-04-15,SA-109,Entrada compra,5
2025-04-15,PA-101,Entrada producción,4
2025-04-15,CP-106,Salida consumo,-52
2025-04-15,SP-111,Salida consumo,-17
2025-04-15,SP-102,Entrada compra,27
2025-04-16,MP-111,Entrada producción,242
2025-04-16,MP-113,Salida consumo,-208
2025-04-16,CP-105,Entrada compra,66
2025-04-16,SA-106,Salida consumo,-12
2025-04-16,CP-120,Salida consumo,-74
2025-04-16,SP-106,Salida consumo,-14
2025-04-16,CP-119,Salida consumo,-60
2025-04-16,SP-108,Entrada compra,17
2025-04-17,CP-111,Entrada producción,56
2025-04-17,CP-115,Entrada compra,60
2025-04-17,CP-108,Salida consumo,-35
2025-04-17,MP-112,Salida consumo,-230
2025-04-17,SA-100,Salida consumo,-15
2025-04-18,SA-101,Entrada producción,12
2025-04-18,SA-107,Entrada compra,9
2025-04-18,CP-117,Entrada compra,47
2025-04-18,SA-110,Entrada compra,15
2025-04-18,PA-101,Salida despliegue,-4
2025-04-18,SA-109,Salida consumo,-6
2025-04-18,SP-102,Salida consumo,-30
2025-04-18,SP-105,Salida consumo,-10
2025-04-18,MP-104,Entrada compra,193
2025-04-18,SP-104,Entrada compra,30
2025-04-18,SP-107,Entrada compra,17
2025-04-19,MP-111,Salida consumo,-236
2025-04-19,SP-108,Salida consumo,-18
2025-04-19,MP-102,Entrada compra,229
2025-04-19,CP-121,Entrada compra,55
2025-04-19,CP-105,Salida consumo,-72
2025-04-19,SA-104,Entrada compra,12
2025-04-20,CP-111,Salida consumo,-64
2025-04-20,PA-100,Entrada producción,2
2025-04-20,CP-115,Salida consumo,-52
2025-04-21,SA-110,Salida consumo,-14
2025-04-21,SA-107,Salida consumo,-11
2025-04-21,MP-109,Entrada producción,210
2025-04-21,SP-104,Salida consumo,-37
2025-04-21,SP-103,Entrada compra,38
2025-04-21,MP-104,Salida consumo,-184
2025-04-21,CP-117,Salida consumo,-44
2025-04-21,SP-107,Salida consumo,-20
2025-04-21,SA-101,Salida consumo,-13
2025-04-22,MP-110,Entrada compra,165
2025-04-22,CP-121,Salida consumo,-53
2025-04-22,SA-104,Salida consumo,-12
2025-04-22,MP-102,Salida consumo,-210
2025-04-23,CP-110,Entrada compra,33
2025-04-23,SP-100,Entrada compra,21
2025-04-23,MP-101,Entrada compra,81
2025-04-23,PA-100,Salida despliegue,-2
2025-04-24,MP-109,Salida consumo,-174
2025-04-24,SA-104,Ajuste,-2
2025-04-24,CP-114,Entrada producción,72
2025-04-24,SP-103,Salida consumo,-36
2025-04-24,MP-105,Entrada compra,218
2025-04-24,CP-116,Entrada compra,31
2025-04-25,MP-110,Salida consumo,-198
2025-04-25,CP-103,Entrada compra,22
2025-04-25,SP-101,Entrada producción,10
2025-04-26,MP-101,Salida consumo,-90
2025-04-26,SP-100,Salida consumo,-23
2025-04-26,CP-110,Salida consumo,-40
2025-04-27,CP-114,Salida consumo,-62
2025-04-27,MP-105,Salida consumo,-178
2025-04-27,CP-116,Salida consumo,-33
2025-04-28,SP-101,Salida consumo,-11
2025-04-28,CP-103,Salida consumo,-22
2025-05-04,CP-111,Entrada producción,83
2025-05-04,CP-104,Entrada compra,50
2025-05-04,CP-102,Entrada compra,58
2025-05-04,CP-106,Entrada compra,60
2025-05-04,SA-100,Entrada compra,4
2025-05-05,SA-108,Entrada compra,9
2025-05-05,SP-103,Entrada compra,40
2025-05-05,SA-104,Entrada compra,12
2025-05-06,MP-112,Entrada compra,269
2025-05-06,PA-102,Entrada producción,5
2025-05-06,MP-103,Entrada compra,169
2025-05-07,SP-105,Entrada compra,13
2025-05-07,SA-100,Salida consumo,-5
2025-05-07,CP-111,Salida consumo,-86
2025-05-07,CP-104,Salida consumo,-53
2025-05-07,SA-101,Entrada producción,11
2025-05-07,CP-106,Salida consumo,-63
2025-05-07,SA-106,Entrada producción,16
2025-05-07,CP-102,Salida consumo,-56
2025-05-08,CP-100,Entrada compra,80
2025-05-08,SA-108,Salida consumo,-9
2025-05-08,CP-120,Entrada producción,78
2025-05-08,CP-110,Entrada compra,47
2025-05-08,SP-110,Entrada compra,40
2025-05-08,SP-108,Entrada compra,17
2025-05-08,SP-103,Salida consumo,-33
2025-05-08,PA-103,Entrada producción,1
2025-05-08,PA-104,Entrada producción,4
2025-05-08,SA-104,Salida consumo,-13
2025-05-09,MP-112,Salida consumo,-238
2025-05-09,MP-109,Entrada producción,172
2025-05-09,PA-102,Salida despliegue,-6
2025-05-09,PA-100,Entrada producción,7
2025-05-09,MP-103,Salida consumo,-150
2025-05-09,SA-110,Entrada compra,21
2025-05-10,CP-114,Entrada producción,81
2025-05-10,MP-106,Entrada compra,74
2025-05-10,SP-104,Entrada compra,36
2025-05-10,SA-101,Salida consumo,-12
2025-05-10,SA-106,Salida consumo,-17
2025-05-10,SP-105,Salida consumo,-16
2025-05-10,SP-109,Entrada compra,32
2025-05-10,SA-102,Entrada compra,8
2025-05-11,SP-101,Entrada producción,13
2025-05-11,SP-110,Salida consumo,-42
2025-05-11,CP-120,Salida consumo,-74
2025-05-11,PA-103,Salida despliegue,-1
2025-05-11,SP-102,Entrada compra,31
2025-05-11,SP-108,Salida consumo,-18
2025-05-11,CP-110,Salida consumo,-39
2025-05-11,SP-100,Entrada compra,23
2025-05-11,CP-100,Salida consumo,-67
2025-05-11,PA-104,Salida despliegue,-4
2025-05-12,PA-100,Salida despliegue,-6
2025-05-12,MP-109,Salida consumo,-195
2025-05-12,CP-115,Entrada compra,82
2025-05-12,CP-108,Entrada producción,52
2025-05-12,SA-110,Salida consumo,-25
2025-05-13,CP-121,Entrada compra,46
2025-05-13,SP-109,Salida consumo,-26
2025-05-13,SA-102,Salida consumo,-10
2025-05-13,MP-106,Salida consumo,-67
2025-05-13,SP-104,Salida consumo,-35
2025-05-13,MP-100,Entrada producción,218
2025-05-13,MP-113,Entrada compra,220
2025-05-13,CP-114,Salida consumo,-74
2025-05-14,SP-101,Salida consumo,-11
2025-05-14,SP-102,Salida consumo,-38
2025-05-14,CP-119,Entrada compra,84
2025-05-14,SP-100,Salida consumo,-20
2025-05-15,MP-107,Entrada compra,128
2025-05-15,CP-105,Entrada compra,74
2025-05-15,CP-108,Salida consumo,-43
2025-05-15,PA-101,Entrada producción,4
2025-05-15,CP-115,Salida consumo,-85
2025-05-15,SP-107,Entrada compra,25
2025-05-16,CP-121,Salida consumo,-58
2025-05-16,CP-113,Entrada compra,63
2025-05-16,MP-100,Salida consumo,-225
2025-05-16,MP-113,Salida consumo,-238
2025-05-17,CP-118,Entrada compra,28
2025-05-17,MP-105,Entrada compra,166
2025-05-17,CP-119,Salida consumo,-69
2025-05-18,SP-111,Entrada compra,16
2025-05-18,MP-104,Entrada compra,191
2025-05-18,MP-107,Salida consumo,-113
2025-05-18,MP-110,Entrada compra,218
2025-05-18,SP-107,Salida consumo,-26
2025-05-18,CP-105,Salida consumo,-62
2025-05-18,SA-111,Entrada compra,7
2025-05-18,PA-101,Salida despliegue,-5
2025-05-18,MP-111,Entrada producción,254
2025-05-19,CP-113,Salida consumo,-71
2025-05-19,SA-103,Entrada compra,10
2025-05-19,MP-101,Entrada compra,115
2025-05-20,MP-105,Salida consumo,-208
2025-05-20,CP-109,Entrada compra,34
2025-05-20,MP-108,Entrada compra,87
2025-05-20,CP-118,Salida consumo,-34
2025-05-20,CP-112,Entrada compra,38
2025-05-20,CP-103,Entrada compra,18
2025-05-21,SA-111,Salida consumo,-9
2025-05-21,MP-104,Salida consumo,-218
2025-05-21,SP-106,Entrada compra,16
2025-05-21,MP-110,Salida consumo,-197
2025-05-21,CP-116,Entrada compra,27
2025-05-21,SA-109,Entrada compra,6
2025-05-21,SP-111,Salida consumo,-19
2025-05-21,MP-111,Salida consumo,-268
2025-05-22,MP-101,Salida consumo,-111
2025-05-22,SA-103,Salida consumo,-12
2025-05-22,MP-102,Entrada compra,167
2025-05-23,CP-109,Salida consumo,-41
2025-05-23,CP-107,Entrada compra,42
2025-05-23,SA-105,Entrada compra,7
2025-05-23,CP-103,Salida consumo,-17
2025-05-23,CP-112,Salida consumo,-34
2025-05-23,MP-108,Salida consumo,-99
2025-05-24,SA-107,Entrada compra,18
2025-05-24,SA-109,Salida consumo,-7
2025-05-24,SP-106,Salida consumo,-15
2025-05-24,CP-117,Entrada compra,63
