asset_id,model_id,client_id,fecha_despliegue,coste_adquisicion,vida_util_meses,valor_residual,estado,horas_operadas,dep_mensual,meses_depreciados,dep_acumulada,valor_neto_contable,vida_restante_meses
TKR-1068,M1,C07,2024-12-15,95000.0,72,4750.0,Operativo,1211,1253.47,19.0,23815.97,71184.03,53.0
TKR-1069,M2,C07,2025-07-14,140000.0,72,7000.0,Operativo,5333,1847.22,12.0,22166.67,117833.33,60.0
TKR-1070,M4,C08,2024-12-02,62000.0,60,6200.0,Operativo,3035,930.0,19.0,17670.0,44330.0,41.0
TKR-1071,M4,C08,2025-02-19,62000.0,60,6200.0,Mantenimiento,3390,930.0,17.0,15810.0,46190.0,43.0
TKR-1072,M1,C08,2025-09-05,95000.0,72,4750.0,Operativo,1017,1253.47,10.0,12534.72,82465.28,62.0
TKR-1073,M4,C08,2025-01-31,62000.0,60,6200.0,Standby,5407,930.0,18.0,16740.0,45260.0,42.0
TKR-1074,M2,C08,2025-02-23,140000.0,72,7000.0,Operativo,5681,1847.22,17.0,31402.78,108597.22,55.0
TKR-1075,M5,C08,2025-03-06,78000.0,60,3900.0,Operativo,6084,1235.0,16.0,19760.0,58240.0,44.0
TKR-1076,M5,C09,2025-01-28,78000.0,60,3900.0,Operativo,1097,1235.0,18.0,22230.0,55770.0,42.0
TKR-1077,M5,C09,2025-11-26,78000.0,60,3900.0,Operativo,3326,1235.0,8.0,9880.0,68120.0,52.0
TKR-1078,M4,C09,2025-10-01,62000.0,60,6200.0,Operativo,707,930.0,9.0,8370.0,53630.0,51.0
TKR-1079,M3,C09,2025-03-24,185000.0,84,9250.0,Operativo,716,2092.26,16.0,33476.19,151523.81,68.0
TKR-1080,M3,C09,2026-04-02,185000.0,84,9250.0,Operativo,2552,2092.26,3.0,6276.79,178723.21,81.0
TKR-1081,M3,C09,2025-07-14,185000.0,84,9250.0,Operativo,4091,2092.26,12.0,25107.14,159892.86,72.0
TKR-1082,M5,C09,2025-10-07,78000.0,60,3900.0,Operativo,3517,1235.0,9.0,11115.0,66885.0,51.0
TKR-1083,M4,C09,2025-05-19,62000.0,60,6200.0,Operativo,2743,930.0,14.0,13020.0,48980.0,46.0
TKR-1084,M5,C09,2026-01-23,78000.0,60,3900.0,Operativo,3965,1235.0,6.0,7410.0,70590.0,54.0
TKR-1085,M3,C09,2025-08-04,185000.0,84,9250.0,Mantenimiento,1662,2092.26,11.0,23014.88,161985.12,73.0
TKR-1086,M5,C09,2025-04-06,78000.0,60,3900.0,Operativo,1257,1235.0,15.0,18525.0,59475.0,45.0
TKR-1087,M2,C10,2025-10-24,140000.0,72,7000.0,Operativo,3976,1847.22,9.0,16625.0,123375.0,63.0
TKR-1088,M5,C10,2025-10-31,78000.0,60,3900.0,Operativo,2491,1235.0,9.0,11115.0,66885.0,51.0
TKR-1089,M1,C10,2025-11-21,95000.0,72,4750.0,Operativo,4653,1253.47,8.0,10027.78,84972.22,64.0
TKR-1090,M4,C10,2025-07-30,62000.0,60,6200.0,Operativo,1071,930.0,12.0,11160.0,50840.0,48.0
TKR-1091,M1,C11,2026-01-29,95000.0,72,4750.0,Operativo,1403,1253.47,6.0,7520.83,87479.17,66.0
TKR-1092,M4,C11,2025-07-30,62000.0,60,6200.0,Operativo,2808,930.0,12.0,11160.0,50840.0,48.0
TKR-1093,M5,C11,2026-04-18,78000.0,60,3900.0,Operativo,5958,1235.0,3.0,3705.0,74295.0,57.0
TKR-1094,M1,C11,2025-10-15,95000.0,72,4750.0,Standby,4767,1253.47,9.0,11281.25,83718.75,63.0
TKR-1095,M5,C11,2025-09-01,78000.0,60,3900.0,Operativo,1349,1235.0,10.0,12350.0,65650.0,50.0
TKR-1096,M4,C11,2026-03-10,62000.0,60,6200.0,Operativo,5049,930.0,4.0,3720.0,58280.0,56.0
TKR-1097,M2,C11,2025-10-20,140000.0,72,7000.0,Mantenimiento,4780,1847.22,9.0,16625.0,123375.0,63.0
TKR-1098,M5,C12,2026-04-26,78000.0,60,3900.0,Standby,658,1235.0,3.0,3705.0,74295.0,57.0
TKR-1099,M4,C12,2025-11-13,62000.0,60,6200.0,Operativo,480,930.0,8.0,7440.0,54560.0,52.0
TKR-1100,M2,C12,2025-08-14,140000.0,72,7000.0,Operativo,4287,1847.22,11.0,20319.44,119680.56,61.0
TKR-1101,M1,C12,2025-11-05,95000.0,72,4750.0,Operativo,5802,1253.47,8.0,10027.78,84972.22,64.0
TKR-1102,M1,C12,2025-10-11,95000.0,72,4750.0,Operativo,5675,1253.47,9.0,11281.25,83718.75,63.0
TKR-1103,M5,C12,2025-10-18,78000.0,60,3900.0,Operativo,6189,1235.0,9.0,11115.0,66885.0,51.0
TKR-1104,M1,C12,2025-10-19,95000.0,72,4750.0,Operativo,543,1253.47,9.0,11281.25,83718.75,63.0
TKR-1105,M4,C12,2026-04-13,62000.0,60,6200.0,Standby,2810,930.0,3.0,2790.0,59210.0,57.0
TKR-1106,M5,C12,2025-12-12,78000.0,60,3900.0,Mantenimiento,3169,1235.0,7.0,8645.0,69355.0,53.0
TKR-1107,M1,C12,2026-03-12,95000.0,72,4750.0,Operativo,3072,1253.47,4.0,5013.89,89986.11,68.0
TKR-1108,M1,C12,2026-04-03,95000.0,72,4750.0,Standby,4193,1253.47,3.0,3760.42,91239.58,69.0
TKR-1109,M5,C12,2025-08-15,78000.0,60,3900.0,Standby,4094,1235.0,11.0,13585.0,64415.0,49.0
TKR-1110,M1,C13,2025-11-19,95000.0,72,4750.0,Operativo,5387,1253.47,8.0,10027.78,84972.22,64.0
TKR-1111,M4,C13,2025-10-31,62000.0,60,6200.0,Operativo,3621,930.0,9.0,8370.0,53630.0,51.0
TKR-1112,M4,C13,2026-01-25,62000.0,60,6200.0,Mantenimiento,5928,930.0,6.0,5580.0,56420.0,54.0
TKR-1113,M1,C13,2026-01-13,95000.0,72,4750.0,Operativo,5419,1253.47,6.0,7520.83,87479.17,66.0
TKR-1114,M4,C13,2026-03-25,62000.0,60,6200.0,Operativo,1755,930.0,4.0,3720.0,58280.0,56.0
TKR-1115,M4,C14,2026-03-27,62000.0,60,6200.0,Operativo,4458,930.0,4.0,3720.0,58280.0,56.0
TKR-1116,M3,C14,2026-06-25,185000.0,84,9250.0,Mantenimiento,5349,2092.26,1.0,2092.26,182907.74,83.0
TKR-1117,M3,C14,2026-02-12,185000.0,84,9250.0,Operativo,5424,2092.26,5.0,10461.31,174538.69,79.0
TKR-1118,M1,C14,2026-05-30,95000.0,72,4750.0,Operativo,6192,1253.47,2.0,2506.94,92493.06,70.0
TKR-1119,M4,C14,2026-03-08,62000.0,60,6200.0,Operativo,5362,930.0,4.0,3720.0,58280.0,56.0
TKR-1120,M4,C14,2026-02-15,62000.0,60,6200.0,Operativo,1179,930.0,5.0,4650.0,57350.0,55.0
TKR-1121,M1,C14,2026-02-22,95000.0,72,4750.0,Operativo,5986,1253.47,5.0,6267.36,88732.64,67.0
TKR-1122,M4,C14,2026-06-13,62000.0,60,6200.0,Operativo,3536,930.0,1.0,930.0,61070.0,59.0
TKR-1123,M3,C14,2026-05-16,185000.0,84,9250.0,Operativo,2174,2092.26,2.0,4184.52,180815.48,82.0
TKR-1124,M4,C14,2026-05-17,62000.0,60,6200.0,Operativo,1301,930.0,2.0,1860.0,60140.0,58.0
TKR-1125,M2,C14,2026-04-01,140000.0,72,7000.0,Mantenimiento,4082,1847.22,3.0,5541.67,134458.33,69.0
